lang,order_by
ar,12969
ca,25229
cs,21286
de,386515
en,3378998
es,162060
fa,13389
fi,31912
fr,616892
he,64281
it,132479
ja,83921
ko,24598
nl,60974
no,19099
pl,78691
pt,180049
ru,201019
sh,842
sv,56100
tr,37312
uk,40192
vi,35856
zh,73189
